transaction_id,store,date,quantity,flavour,sales
A2J4W2Y4S2,Ice Cream Bazaar,2020/01/01,2,caramel,3.98
A2R0A2V0A2,Main Street,2020/01/01,1,chocolate,1.99
B3M8T3Y8P3,Ice Cream Bazaar,2020/01/01,1,caramel,1.99
B4A7V4A7T4,Evergreen Market,2020/01/01,3,pistachio,5.97
B4Z0W4E0Q4,Evergreen Market,2020/01/01,3,blueberry,5.97
B5D8A5T8Q5,Ice Cream Bazaar,2020/01/01,4,strawberry,6.36
B7Q7G7V7Z7,Evergreen Market,2020/01/01,3,vanilla,4.77
C5H5W5S5A5,Evergreen Market,2020/01/01,3,caramel,5.97
C5O7A5X7I5,The Arcade,2020/01/01,2,blueberry,3.98
D1K8H1G8L1,Ice Cream Bazaar,2020/01/01,1,chocolate,1.99
D7E2R7C2P7,The Arcade,2020/01/01,3,blueberry,5.97
D7I4P7E4W7,The Arcade,2020/01/01,2,caramel,3.98
D9Y8K9L8G9,Ice Cream Bazaar,2020/01/01,4,blueberry,7.96
E5L6E5V6T5,Main Street,2020/01/01,1,strawberry,1.59
E7K8M7V8L7,Evergreen Market,2020/01/01,1,chocolate,1.99
F9A0U9Q0U9,The Arcade,2020/01/01,1,caramel,1.99
F9A4T9U4Z9,The Arcade,2020/01/01,3,chocolate,5.97
G6R4A6T4M6,Evergreen Market,2020/01/01,1,blueberry,1.99
H2M6R2T6J2,Main Street,2020/01/01,2,blueberry,3.98
H4S8G4Q8I4,Ice Cream Bazaar,2020/01/01,1,chocolate,1.99
H7I0Z7S0N7,Evergreen Market,2020/01/01,3,chocolate,5.97
H7X6H7G6J7,The Arcade,2020/01/01,1,blueberry,1.99
H8P4C8L4O8,Main Street,2020/01/01,1,blueberry,1.99
I0I9R0A9V0,The Arcade,2020/01/01,4,strawberry,6.36
I1D1D1T1T1,Ice Cream Bazaar,2020/01/01,1,caramel,1.99
I1L8F1Q8S1,Main Street,2020/01/01,4,blueberry,7.96
I2I0X2U0W2,Ice Cream Bazaar,2020/01/01,4,vanilla,6.36
